tsne_1,tsne_2,temp_zscore
-52.54281,5.536997,-2.4709039
33.22572,-3.0899951,0.11220226
-15.683236,11.725497,0.11220226
25.688164,-13.777959,0.11220226
-33.69627,-10.220558,-0.26216096
-10.757107,17.403461,-1.9467953
33.698917,-1.340255,-0.26216096
-19.82581,1.4675843,-1.0108874
15.36624,-17.675262,0.11220226
-20.138386,1.6644322,-0.07497935
-52.88042,4.598372,-1.5724322
5.810427,7.112053,-0.54293334
37.052853,8.13457,0.11220226
-34.20661,-10.210539,0.29938385
-40.048653,-8.7951565,-2.4709039
30.630083,-8.668645,-1.0108874
11.819279,-16.64107,0.20579305
-45.751156,-3.767034,-0.82370573
36.490856,8.083404,-1.0108874
5.443666,7.998942,-0.54293334
-39.584713,-8.967756,0.48656544
24.97179,-14.172825,0.86092865
-39.62138,-8.8419285,0.48656544
-30.853449,-9.674024,-0.63652414
-17.446886,8.492727,0.86092865
-16.69113,10.626193,1.2352918
15.203985,-18.061855,-0.26216096
-30.740934,-9.642854,-0.54293334
14.650774,-17.482395,0.58015627
6.140666,-1.4124353,-0.07497935
-9.514049,16.80946,0.20579305
